label,period,rows,dates,cities,win_rate,avg_entry,avg_net_ev,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi
market_blend_same_count_cap20,recent_ge_2026_06_21,58,9.0,28.0,0.1206896551724138,0.0627241379310345,0.001211272527018282,30.038192049999996,29.961807950000004,0.9974571006180116,0.08543111567345264,1.8911524691385877,-0.3886974267397203,3.0,3.0,-4.264773425,-1.0
market_blend_same_count_cap20,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,
attention_blend_ev_positive_cap20,full,318,53.0,45.0,0.03773584905660377,0.03637893081761007,0.02331494430265798,96.00878089999999,-2.0087809000000014,-0.020922887273116093,-0.5882700453616403,0.646735349065821,-0.45833361686183094,44.0,44.0,-6.067838075,-1.0
attention_blend_ev_positive_cap20,train_le_2026_06_20,264,44.0,44.0,0.045454545454545456,0.0399810606060606,0.024559910551529156,88.854369725,5.145630274999994,0.057910829719747856,-0.5378025949160221,0.7425177273131564,-0.41076112104762746,35.0,35.0,-6.067838075,-1.0
attention_blend_ev_positive_cap20,recent_ge_2026_06_21,54,9.0,27.0,0.0,0.01876851851851852,0.017228442641510005,7.154411175000001,-7.154411175000001,-1.0,-1.0,-1.0,-1.0,9.0,9.0,-2.9721957999999997,-1.0
attention_blend_ev_positive_cap20,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,
attention_blend_same_count_cap20,full,333,53.0,47.0,0.06906906906906907,0.056342342342342346,0.007783736321826624,162.83194455,27.168055450000004,0.1668472087899045,-0.2815261783809868,0.6545160625220208,-0.09127564494044953,36.0,36.0,-8.364791175,-1.0
attention_blend_same_count_cap20,train_le_2026_06_20,275,44.0,46.0,0.06181818181818182,0.05457818181818182,0.009539240993683746,131.036859325,2.9631406749999982,0.02261303186190355,-0.4793695507146049,0.6137075712338108,-0.2996718822499134,33.0,33.0,-8.364791175,-1.0
attention_blend_same_count_cap20,recent_ge_2026_06_21,58,9.0,28.0,0.10344827586206896,0.06470689655172414,-0.000539777208530416,31.795085224999998,24.204914775000002,0.7612784996081106,0.10770813272787785,1.424707034143068,-0.6563192996220364,3.0,3.0,-3.9282549500000004,-1.0
attention_blend_same_count_cap20,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,
