dimension,value,model,rows,target_dates,brier,logloss,calibration_bias,accuracy_0p5,auc
peak_window,peak_0_1h,p_structural_margin_r16,89,7,0.09659448000161992,0.2980564298895197,-0.14868377757858636,0.9101123595505618,0.9949152542372882
peak_window,peak_0_1h,p_structural_margin_transition_r16,89,7,0.09545645742929099,0.29497550298476044,-0.149146272577348,0.9101123595505618,0.996045197740113
peak_window,peak_0_1h,p_structural_margin_transition_hgb,89,7,0.15379529671781378,0.4868087449629054,-0.17307750251672957,0.9213483146067416,0.9677966101694916
peak_window,peak_1_2h,market_probability,23,4,0.11285493750000002,0.3854202525353924,-0.11879166666666667,0.8695652173913043,1.0
peak_window,peak_1_2h,p_v2_compact_r16,23,4,0.08246428871626571,0.316145637133581,-0.07197869526999909,0.9130434782608695,1.0
peak_window,peak_1_2h,p_structural_margin_r16,23,4,0.08592847762336674,0.32796869442044446,-0.054529856263689135,0.9130434782608695,1.0
peak_window,peak_1_2h,p_structural_margin_transition_r16,23,4,0.08204213800180427,0.3196877513079587,-0.06409062554406716,0.9565217391304348,1.0
peak_window,peak_1_2h,p_structural_margin_transition_hgb,23,4,0.03820957867744832,0.14493495746593923,0.08202841331878893,1.0,1.0
peak_window,peak_gt_2h,market_probability,235,8,0.06754424136520172,0.22784357828302387,-0.0693224103284492,0.948936170212766,0.9791810443984357
peak_window,peak_gt_2h,p_v2_compact_r16,235,8,0.047803568624419875,0.17852738375017954,-0.06326071070090755,0.9617021276595744,0.9847020933977455
peak_window,peak_gt_2h,p_structural_margin_r16,235,8,0.04864648422848546,0.18101992252452764,-0.05934164938487335,0.9659574468085106,0.9856222682309639
peak_window,peak_gt_2h,p_structural_margin_transition_r16,235,8,0.049610244614282456,0.18353708518858702,-0.06210602173179415,0.9659574468085106,0.9843570278352887
peak_window,peak_gt_2h,p_structural_margin_transition_hgb,235,8,0.052310630681099785,0.1807659392808505,-0.017915108684630282,0.9191489361702128,0.9552564987347596
peak_window,peak_passed,market_probability,15,5,0.0793034125,0.2449921505901984,-0.153725,0.8666666666666667,1.0
peak_window,peak_passed,p_v2_compact_r16,15,5,0.07513440344948921,0.2373047737878347,-0.15147883549485203,0.9333333333333333,1.0
peak_window,peak_passed,p_structural_margin_r16,15,5,0.07089875989015153,0.22906686331104806,-0.14608266007869875,0.9333333333333333,1.0
peak_window,peak_passed,p_structural_margin_transition_r16,15,5,0.06945461861712932,0.225381424743395,-0.1466620080088179,0.9333333333333333,1.0
peak_window,peak_passed,p_structural_margin_transition_hgb,15,5,0.06621340795383326,0.22520631322148293,-0.08805388492543907,0.8666666666666667,1.0
