grain,evidence,model,rows,target_dates,brier,logloss,calibration_bias,accuracy_0p5,auc
date_x_entry,active_first_after_source,p_v2_compact_r16,12,4,0.10887899303564076,0.3363934736251564,0.023575419984058304,0.8333333333333334,0.9375
date_x_entry,active_first_after_source,p_structural_margin_r16,12,4,0.10568265401566058,0.32815297700069707,0.016904609012838245,0.8333333333333334,0.9375
date_x_entry,active_first_after_source,p_structural_margin_transition_r16,12,4,0.10655307721234719,0.3303361887535622,0.038737411792893146,0.9166666666666666,0.9375
date_x_entry,active_first_after_source,p_structural_margin_transition_hgb,12,4,0.12431708567581012,0.40101693506208697,0.021919345264316277,0.8333333333333334,0.9375
date_x_entry,full_ladder_before_source,market_probability,19,6,0.06758236666666667,0.2143694942230121,-0.057327777777777776,0.8421052631578947,0.9444444444444444
date_x_entry,full_ladder_before_source,p_break_v7,19,6,0.08540887391874756,0.2334590700330157,0.0677949571885171,0.9473684210526315,0.9444444444444444
date_x_entry,full_ladder_before_source,p_frozen_old,19,6,0.021817540898565742,0.07746675404022056,-0.05796240806779612,0.9473684210526315,1.0
date_x_entry,full_ladder_before_source,p_v2_compact_r16,19,6,0.032013563099757905,0.11958270153656475,-0.06936760570517433,0.9473684210526315,1.0
date_x_entry,full_ladder_before_source,p_structural_margin_r16,19,6,0.030599734007480835,0.11781878658861465,-0.06385483367886179,1.0,1.0
date_x_entry,full_ladder_before_source,p_structural_margin_transition_r16,19,6,0.02894224661313705,0.11431322778338694,-0.05933942159060093,1.0,1.0
date_x_entry,full_ladder_before_source,p_structural_margin_transition_hgb,19,6,0.04209965919895295,0.13442059045950447,-0.0794764269805879,0.8947368421052632,1.0
