target_date,current_bracket,decision_ts_utc,source_obs_ts_utc,market_probability,effective_cost,p_v2_compact_r16,fade_reheat_p_eod,fmi_minus_official_latest_temp_c,forecast_current_innovation_c,forecast_future_peak_margin_vs_boundary_c,forecast_future_reheat_strength_c,forecast_peak_h,global_radiation_slope_30m,local_hour_cos,local_hour_sin,official_latest_pullback_c,official_report_age_min,temp_slope_30m_cph,weather_market_logit_gap,bracket_transition_ts_utc,minutes_since_bracket_transition,log_minutes_since_bracket_transition,forecast_bias_corrected_future_peak_margin_vs_boundary_c,market_logit,p_structural_margin_r16,p_structural_margin_r16_would_enter,p_structural_margin_transition_r16,p_structural_margin_transition_r16_would_enter,p_structural_margin_transition_hgb,p_structural_margin_transition_hgb_would_enter
2026-07-31,24,2026-07-31 08:11:53.581552+00:00,2026-07-31 08:10:00+00:00,0.935,0.952375,0.9712460628831956,0.0,-0.10000000000000142,2.0346209849382717,-0.7777777777777786,1.8568432071604946,3.8017829022222225,,-0.9772311064626789,0.21217767215644642,0.0,21.89302586666667,1.1999999999999957,-1.105825770774196,2026-07-31 08:00:00+00:00,11.893025866666667,2.556686534683313,1.2568432071604931,2.666159259393051,0.9738082389736437,True,0.9741388340359696,True,0.9847343910913223,True
2026-07-31,25,2026-07-31 08:22:53.709264+00:00,2026-07-31 08:20:00+00:00,0.61,0.65152,0.8237918367765396,0.0,-0.3999999999999986,2.602187956296298,-1.7777777777777786,1.724410178518518,3.6184140933333335,,-0.9862856015372314,0.16504760586067765,0.0,2.8951544,2.4000000000000057,0.47673085909648283,2026-07-31 08:20:00+00:00,2.8951544,1.359733319101872,0.8244101785185194,0.44731221804366483,0.8411776425801151,True,0.8365507233937515,True,0.9847343910913223,True
2026-07-31,25,2026-07-31 08:31:53.638563+00:00,2026-07-31 08:30:00+00:00,0.73,0.76912,0.8541061210600055,0.0,-0.6000000000000014,2.2938688068055555,-1.7777777777777786,1.6160910290277783,3.4684337325,,-0.992004949679715,0.12619896913582956,0.0,11.89397605,1.3999999999999986,-0.7532351772382071,2026-07-31 08:20:00+00:00,11.89397605,2.5567602294336242,0.5160910290277769,0.9946225751440619,0.8681663074178754,True,0.8619073671280181,True,0.9847343910913223,True
2026-07-31,25,2026-07-31 08:42:54.007069+00:00,2026-07-31 08:40:00+00:00,0.625,0.700695,0.8067819751696215,0.0,-0.1999999999999993,2.5613874707253075,-1.7777777777777786,1.4836096929475282,3.284998036388889,,-0.996917333733128,0.07845909572784551,0.0,22.90011781666667,1.8000000000000043,0.30203100791358717,2026-07-31 08:20:00+00:00,22.90011781666667,3.173883388492958,0.7836096929475289,0.5108256237659907,0.8256911474905186,True,0.8196197141704494,True,0.9847343910913223,True
2026-07-31,25,2026-07-31 08:52:54.337294+00:00,2026-07-31 08:50:00+00:00,0.625,0.661375,0.6886840855266662,0.0,-0.5,2.1409508515123434,-1.7777777777777786,1.3631730737345649,3.1182396405555552,,-0.9993908270190958,0.0348994967025007,0.0,32.90562156666667,-0.20000000000000284,-0.5360997929432897,2026-07-31 08:20:00+00:00,32.90562156666667,3.5235808285637447,0.36317307373456487,0.5108256237659907,0.7138515131421792,True,0.7169632354481865,True,0.9846137159679794,True
2026-07-31,25,2026-07-31 09:01:53.897225+00:00,2026-07-31 09:00:00+00:00,0.565,0.621895,0.6535882434062157,0.0,0.6999999999999993,2.2344634768518503,-1.7777777777777786,1.2566856990740725,2.9683618819444444,,-0.9999904807207345,-0.0043633092847466205,1.0,11.898287083333335,0.6000000000000014,0.5896856369874137,2026-07-31 08:20:00+00:00,41.89828708333334,3.758831897009394,0.45668569907407175,0.26147970005775656,0.6789450719712257,True,0.6781026946336401,True,0.9853360309085424,True
2026-07-31,25,2026-07-31 09:11:54.097203+00:00,2026-07-31 09:10:00+00:00,0.54,0.6020949999999999,0.5724008643265507,0.0,0.6999999999999993,2.123315332777775,-1.7777777777777786,1.145537554999997,2.8016396658333336,,-0.9988483864849507,-0.04797812852134395,1.0,21.901620050000002,-0.20000000000000284,0.1103538633800061,2026-07-31 08:20:00+00:00,51.90162005,3.9684339631590304,0.3455375549999964,0.16034265007517948,0.5999512563050515,False,0.6101048347802983,True,0.9239022478705033,True
2026-07-31,25,2026-07-31 09:22:54.246657+00:00,2026-07-31 09:20:00+00:00,0.645,0.73008,0.6701145042101891,0.0,0.5,1.8010654338888905,-1.7777777777777786,1.023287656111112,2.6182648175,,-0.9953961983671789,-0.09584575252022366,1.0,32.904110949999996,0.0,-0.9576486450341934,2026-07-31 08:20:00+00:00,62.90411095,4.157383693429945,0.023287656111111943,0.5971325273203568,0.6919175308757849,False,0.7030294936759819,False,0.9853360309085424,True
2026-07-31,25,2026-07-31 09:31:54.447074+00:00,2026-07-31 09:30:00+00:00,0.615,0.661375,0.7916196755134901,0.0,1.5,2.701028319629632,-1.7777777777777786,0.9232505418518535,2.468209146111111,,-0.9908658973868822,-0.1348509302737229,1.0,11.907451233333335,1.6000000000000014,0.8926242546995025,2026-07-31 08:20:00+00:00,71.90745123333333,4.289190845496885,0.9232505418518535,0.4683789335187336,0.8112177758360138,True,0.8088105333860294,True,0.9853360309085424,True
2026-07-31,25,2026-07-31 09:42:54.015044+00:00,2026-07-31 09:40:00+00:00,0.915,0.9332550000000001,0.9650253482492053,0.0,1.6000000000000014,2.6788861029629665,-1.7777777777777786,0.8011083251851865,2.284995821111111,,-0.9832549075639546,-0.18223552549214703,1.0,22.900250733333333,1.8000000000000043,-0.6743105364907345,2026-07-31 08:20:00+00:00,82.90025073333332,4.4296286019470426,0.9011083251851879,2.376272808785205,0.9688598668873962,True,0.9693167379253141,True,0.9853360309085424,True
