model,shares,target_date,current_x,decision_ts_utc,book_evidence,path_state,forecast_peak_h,probability,effective_cost,edge,cost,won,pnl,research_actionable
p_structural_margin_transition_r16,5,2026-07-26,19,2026-07-26 11:04:12.992280+00:00,active_first_after_source,fresh_runway,4.0,0.7930276198949092,0.48245499999999997,0.31057261989490925,2.4122749999999997,False,-2.4122749999999997,True
p_structural_margin_transition_r16,5,2026-07-27,18,2026-07-27 08:02:25.341913+00:00,active_first_after_source,pullback,5.0,0.9734101003422901,0.9619199999999999,0.011490100342290255,4.8096,True,0.19040000000000035,True
p_structural_margin_transition_r16,5,2026-07-27,19,2026-07-27 09:04:26.187267+00:00,active_first_after_source,pullback,4.0,0.9296518175074208,0.8806600000000001,0.048991817507420654,4.403300000000001,True,0.5966999999999993,True
p_structural_margin_transition_r16,5,2026-07-27,20,2026-07-27 13:02:28.000191+00:00,active_first_after_source,fresh_runway,0.0,0.5822179698636222,0.37151999999999996,0.21069796986362221,1.8576,True,3.1424000000000003,True
p_structural_margin_transition_r16,5,2026-07-29,23,2026-07-29 12:13:02.953325+00:00,active_first_after_source,plateau,0.8333333333333334,0.961456501516212,0.9332550000000002,0.028201501516211813,4.666275000000001,True,0.3337249999999994,True
p_structural_margin_transition_r16,5,2026-07-29,24,2026-07-29 12:32:02.927726+00:00,active_first_after_source,fresh_runway,0.5,0.36930045618457036,0.197695,0.17160545618457035,0.988475,False,-0.988475,True
p_structural_margin_transition_hgb,5,2026-07-20,19,2026-07-20 10:12:42.629696+00:00,full_ladder_before_source,pullback,3.8333333333333335,0.9751681692250469,0.952375,0.022793169225046928,4.761875,True,0.23812500000000014,True
p_structural_margin_transition_hgb,5,2026-07-20,20,2026-07-20 11:02:18.062112+00:00,full_ladder_before_source,fresh_runway,3.0,0.7565601852629168,0.442255,0.3143051852629168,2.211275,True,2.788725,True
p_structural_margin_transition_hgb,5,2026-07-21,14,2026-07-21 06:03:32.984047+00:00,full_ladder_before_source,pullback,6.0,0.5542450908524533,0.5224949999999999,0.031750090852453394,2.612475,False,-2.612475,True
p_structural_margin_transition_hgb,5,2026-07-22,17,2026-07-22 10:32:29.949029+00:00,full_ladder_before_source,fresh_runway,3.5,0.9769939068544198,0.9332550000000002,0.04373890685441961,4.666275000000001,True,0.3337249999999994,True
p_structural_margin_transition_hgb,5,2026-07-22,18,2026-07-22 11:42:41.733438+00:00,full_ladder_before_source,pullback,2.3333333333333335,0.37552278892381835,0.300295,0.07522778892381837,1.501475,True,3.498525,True
p_structural_margin_transition_hgb,5,2026-07-23,17,2026-07-23 09:31:41.383835+00:00,full_ladder_before_source,fresh_runway,4.5,0.9764010098377137,0.952375,0.024026009837713747,4.761875,True,0.23812500000000014,True
p_structural_margin_transition_hgb,5,2026-07-23,19,2026-07-23 10:31:23.702573+00:00,full_ladder_before_source,pullback,3.5,0.744539190538875,0.5125,0.232039190538875,2.5625,True,2.4375,True
p_structural_margin_transition_hgb,5,2026-07-24,19,2026-07-24 08:03:33.217250+00:00,full_ladder_before_source,fresh_runway,3.0,0.9816283232105985,0.952375,0.02925332321059848,4.761875,True,0.23812500000000014,True
p_structural_margin_transition_hgb,5,2026-07-24,20,2026-07-24 10:31:56.377255+00:00,full_ladder_before_source,pullback,0.5,0.8608047557080162,0.621895,0.2389097557080162,3.109475,True,1.8905249999999998,True
p_structural_margin_transition_hgb,5,2026-07-25,18,2026-07-25 06:34:20.634681+00:00,active_first_after_source,pullback,6.5,0.9827999730899094,0.9428199999999999,0.039979973089909526,4.714099999999999,True,0.2859000000000007,True
p_structural_margin_transition_hgb,5,2026-07-25,19,2026-07-25 11:33:23.238196+00:00,active_first_after_source,pullback,1.5,0.937058191538046,0.401895,0.535163191538046,2.009475,True,2.990525,True
p_structural_margin_transition_hgb,5,2026-07-25,20,2026-07-25 13:52:24.505145+00:00,active_first_after_source,fade,0.16666666666666666,0.09109172935290569,0.06282,0.028271729352905686,0.3141,False,-0.3141,True
p_structural_margin_transition_hgb,5,2026-07-26,17,2026-07-26 03:00:32.295800+00:00,active_first_after_source,fade,10.166666666666666,0.9836180964108912,0.9619199999999999,0.021698096410891266,4.8096,True,0.19040000000000035,True
p_structural_margin_transition_hgb,5,2026-07-26,18,2026-07-26 10:03:12.345176+00:00,active_first_after_source,fresh_runway,5.0,0.984652197881449,0.8559113199999999,0.12874087788144906,4.279556599999999,True,0.7204434000000006,True
p_structural_margin_transition_hgb,5,2026-07-26,19,2026-07-26 11:04:12.992280+00:00,active_first_after_source,fresh_runway,4.0,0.9439265350562541,0.48245499999999997,0.46147153505625416,2.4122749999999997,False,-2.4122749999999997,True
p_structural_margin_transition_hgb,5,2026-07-27,18,2026-07-27 03:00:22.160089+00:00,active_first_after_source,pullback,10.166666666666666,0.9846058223518144,0.9809800000000001,0.0036258223518143007,4.9049000000000005,True,0.09509999999999952,False
p_structural_margin_transition_hgb,5,2026-07-27,19,2026-07-27 09:04:26.187267+00:00,active_first_after_source,pullback,4.0,0.9846058223518144,0.8806600000000001,0.10394582235181427,4.403300000000001,True,0.5966999999999993,True
p_structural_margin_transition_hgb,5,2026-07-27,20,2026-07-27 13:22:31.305576+00:00,active_first_after_source,fresh_runway,0.6666666666666666,0.5702091341302427,0.41200000000000003,0.15820913413024262,2.06,True,2.94,True
p_structural_margin_transition_hgb,5,2026-07-27,21,2026-07-27 14:32:28.622923+00:00,active_first_after_source,fade,0.5,0.06562858389853435,0.020980000000000002,0.04464858389853435,0.10490000000000001,False,-0.10490000000000001,True
p_structural_margin_transition_hgb,5,2026-07-29,23,2026-07-29 12:13:02.953325+00:00,active_first_after_source,plateau,0.8333333333333334,0.9857764541739438,0.9332550000000002,0.052521454173943605,4.666275000000001,True,0.3337249999999994,True
p_structural_margin_transition_hgb,5,2026-07-29,24,2026-07-29 13:22:03.193099+00:00,active_first_after_source,pullback,0.6666666666666666,0.09117350153190476,0.073255,0.01791850153190476,0.366275,False,-0.366275,True
