grain,evidence,metric,challenger,baseline,delta,ci_low,ci_high,probability_challenger_better
checkpoint,full_ladder_before_source,brier,p_structural_margin_transition_r16,p_v2_compact_r16,0.0011417737167482918,-0.0010503739481497784,0.003550078213763446,0.1768
checkpoint,full_ladder_before_source,logloss,p_structural_margin_transition_r16,p_v2_compact_r16,0.0032822098816413987,-0.0033684668994612673,0.010871988575947237,0.19
checkpoint,full_ladder_before_source,brier,p_structural_margin_transition_hgb,market_probability,-0.020217884087297373,-0.04281028812856181,0.0003711536860457829,0.9722
checkpoint,full_ladder_before_source,logloss,p_structural_margin_transition_hgb,market_probability,-0.05665792900387819,-0.1201231688027038,0.006052136301837915,0.959
checkpoint,full_ladder_before_source,brier,p_structural_margin_transition_hgb,p_frozen_old,0.0011065589924382081,-0.028261243651632777,0.027253753081158322,0.4646
checkpoint,full_ladder_before_source,logloss,p_structural_margin_transition_hgb,p_frozen_old,0.018585655125271612,-0.058454882339893745,0.08646667551495583,0.2914
checkpoint,full_ladder_before_source,brier,p_structural_margin_transition_hgb,p_v2_compact_r16,0.0009726206026715069,-0.014323082685644467,0.016057348187854658,0.4578
checkpoint,full_ladder_before_source,logloss,p_structural_margin_transition_hgb,p_v2_compact_r16,-0.00031557834839209816,-0.04310747204425859,0.04089834264342773,0.4804
state_entry,all,brier,p_v2_compact_r16,market_probability,-0.023669211504582514,-0.046705004512458,-0.0015947666782074,0.9828
state_entry,all,logloss,p_v2_compact_r16,market_probability,-0.05435323386055269,-0.10464366530481951,-0.0057649821544567496,0.9868
state_entry,all,brier,p_v2_compact_r16,p_frozen_old,0.0005328600174217427,-0.023206697911755423,0.024697844578290194,0.492
state_entry,all,logloss,p_v2_compact_r16,p_frozen_old,0.01026822637093202,-0.05550506999776562,0.07598072821823541,0.382
state_entry,all,brier,p_structural_margin_r16,market_probability,-0.024264207993805145,-0.04702728887046204,-0.002175947691959462,0.9858
state_entry,all,logloss,p_structural_margin_r16,market_probability,-0.0553873841482094,-0.10394950287506827,-0.007663359360795189,0.9892
state_entry,all,brier,p_structural_margin_r16,p_frozen_old,-6.213647180088723e-05,-0.024059872956963293,0.024390044878525415,0.515
state_entry,all,logloss,p_structural_margin_r16,p_frozen_old,0.009234076083275295,-0.05706037716397727,0.07775453768448581,0.4006
state_entry,all,brier,p_structural_margin_r16,p_v2_compact_r16,-0.0005949964892226303,-0.003498340998631366,0.0023853549023144086,0.6688
state_entry,all,logloss,p_structural_margin_r16,p_v2_compact_r16,-0.0010341502876567165,-0.009122010445609332,0.008061256426152305,0.607
state_entry,all,brier,p_structural_margin_transition_r16,market_probability,-0.024547378409823458,-0.047099328667983734,-0.0027298726524326417,0.9884
