city,target_date,decision_snapshot_dt,label,market_mid,route,p_market_raw,p_market_cal,p_market_plus_clock,p_core,p_core_no_obs_age,p_core_no_clock,p_core_no_wind,p_no_path,p_path_added,p_cc_added,decision_snapshot_ts_utc,decision_hour_local,current_bracket,current_yes_bid,current_yes_ask,current_yes_ask_size,taker_cost,orderbook_file,front,five_share_executable,five_share_cost_per_share,five_share_principal_vwap,five_share_best_ask,five_share_cost_source,five_share_slippage_per_share,model_probability,model_edge_after_fee_and_depth,ten_share_executable,ten_share_cost_per_share,ten_share_max_ask_price,ten_share_positive_ev
Busan,2026-06-13,2026-06-13 04:30:53+00:00,1,0.875,False,0.875,0.8607609339801224,0.8681749193517116,0.8942054969660532,0.8925021324141772,0.901511219017874,0.8683557933216931,0.898865920509001,0.9282010083152532,0.926726431961023,2026-06-13T04:30:53+00:00,13,29,0.87,0.88,80.58,0.88528,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-13/orderbook_snapshot_20260613_1230.jsonl.gz,True,True,0.8852800000000001,0.8800000000000001,0.88,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.8925021324141772,0.0072221324141771,True,0.8852800000000001,0.88,True
Istanbul,2026-06-13,2026-06-13 10:30:53+00:00,1,0.945,True,0.945,0.9332919227834184,0.9932426739189576,0.9967123020733182,0.9968486216866052,0.9773406570332616,0.9936870868242532,0.9964080601532352,0.9970243270255448,0.9979490408669672,2026-06-13T10:30:53+00:00,13,20,0.94,0.95,56.41,0.95238,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-13/orderbook_snapshot_20260613_1830.jsonl.gz,True,True,0.95238,0.95,0.95,feature_top_ask_covers_quantity,0.0,0.9968486216866052,0.0444686216866052,True,0.95238,0.95,True
SanFrancisco,2026-06-13,2026-06-13 22:30:47+00:00,1,0.8585,False,0.8585,0.8444253400517487,0.8598373705919005,0.9175324693729048,0.9174237185606514,0.9077516540222088,0.8684408911608582,0.9224693094277754,0.9065412330082392,0.8967161433966316,2026-06-13T22:30:47+00:00,15,70-71,0.831,0.886,30.0,0.89105,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-14/orderbook_snapshot_20260614_0630.jsonl.gz,True,True,0.8910499999999999,0.8859999999999999,0.886,feature_top_ask_covers_quantity,-1.1102230246251563e-16,0.9174237185606514,0.0263737185606515,True,0.8910499999999999,0.886,True
Amsterdam,2026-06-14,2026-06-14 14:30:15+00:00,1,0.975,False,0.975,0.9671865010499756,0.9713190813043996,0.9823451233341972,0.9823503634781334,0.9784359605789056,0.9744613887297016,0.9809354143074188,0.9809898519322416,0.9809248127478836,2026-06-14T14:30:15+00:00,16,17,0.97,0.98,20.29,0.98098,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-14/orderbook_snapshot_20260614_2230.jsonl.gz,True,True,0.98098,0.98,0.98,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9823503634781334,0.0013703634781333,True,0.9809800000000001,0.98,True
Houston,2026-06-14,2026-06-14 21:30:53+00:00,1,0.91,False,0.91,0.8969592587270532,0.9400743983933668,0.9474425012383592,0.9486506831338642,0.9040032171582818,0.944820779013684,0.9431520160715144,0.934051051664588,0.9413776748055872,2026-06-14T21:30:53+00:00,16,90-91,0.89,0.93,15.77,0.93325,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-15/orderbook_snapshot_20260615_0530.jsonl.gz,True,True,0.93325,0.93,0.93,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9486506831338642,0.0154006831338641,True,0.9332500000000001,0.93,True
Karachi,2026-06-14,2026-06-14 09:30:52+00:00,1,0.975,False,0.975,0.9671865010499756,0.969602259605043,0.9853339766233354,0.9849135721329572,0.9859195177494424,0.966289100034938,0.9830710150206118,0.979104461137348,0.9814748062320868,2026-06-14T09:30:52+00:00,14,35,0.97,0.98,26.47,0.98098,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-14/orderbook_snapshot_20260614_1730.jsonl.gz,True,True,0.98098,0.98,0.98,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9849135721329572,0.003933572132957,True,0.9809800000000001,0.98,True
Shanghai,2026-06-14,2026-06-14 08:30:50+00:00,1,0.907,False,0.907,0.8939061499966668,0.8974475120516437,0.9400774894757484,0.9381437065604298,0.9314749779146284,0.9238299932582728,0.9350620810007108,0.9367512114487152,0.9233638748309024,2026-06-14T08:30:50+00:00,16,22,0.892,0.922,24.0,0.9256,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-14/orderbook_snapshot_20260614_1630.jsonl.gz,True,True,0.9256,0.922,0.922,feature_top_ask_covers_quantity,-1.1102230246251563e-16,0.9381437065604298,0.0125437065604298,True,0.9256,0.922,True
Helsinki,2026-06-15,2026-06-15 13:30:43+00:00,1,0.9,False,0.9,0.8871780640899367,0.9325205162208018,0.9479674679688068,0.9518303692498584,0.9071859537047458,0.9411392329180852,0.953007261423381,0.9508472489735128,0.950878366156346,2026-06-15T13:30:43+00:00,16,17,0.88,0.92,141.0,0.92368,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-15/orderbook_snapshot_20260615_2130.jsonl.gz,True,True,0.92368,0.9200000000000002,0.92,feature_top_ask_covers_quantity,0.0,0.9518303692498584,0.0281503692498584,True,0.9236800000000001,0.92,True
Houston,2026-06-15,2026-06-15 21:30:53+00:00,1,0.87,False,0.87,0.8571626739092446,0.9147163773364366,0.9042597616267208,0.9084230247227038,0.8281438449307746,0.9319007571404831,0.9160978906049688,0.9200978921941813,0.8810289969181041,2026-06-15T21:30:53+00:00,16,82-83,0.841,0.899,25.24,0.90354,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-16/orderbook_snapshot_20260616_0530.jsonl.gz,True,True,0.90354,0.899,0.899,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9084230247227038,0.0048830247227036,True,0.9035400000000001,0.899,True
LA,2026-06-15,2026-06-15 21:30:53+00:00,1,0.925,False,0.925,0.9129116185334288,0.935273481359362,0.9566781568290176,0.9586009483990532,0.946835737755428,0.9377314271412134,0.9596754593298412,0.9616208295608863,0.9656845952512856,2026-06-15T21:30:53+00:00,14,70-71,0.92,0.93,86.0,0.93325,runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-06-16/orderbook_snapshot_20260616_0530.jsonl.gz,True,True,0.93325,0.93,0.93,feature_top_ask_covers_quantity,1.1102230246251563e-16,0.9586009483990532,0.0253509483990529,True,0.9332500000000001,0.93,True
