window,mode,arm,capacity,rows,dates,cities,wins,win_rate,avg_ask,cost,pnl,roi,top5_removed_roi,losing_days,max_daily_loss
recent_ge_2026_06_21,rank_all,source,1,20,20,9,1,0.05,0.1095,2.19,-1.2851149499999999,-0.5868104794520548,-1.0428775425950194,19,-0.20800000000000002
recent_ge_2026_06_21,rank_all,overshoot,1,20,20,9,2,0.1,0.122075,2.4415,-0.5466992125000002,-0.22391939893508098,-1.042747925598991,18,-0.20284875000000002
recent_ge_2026_06_21,rank_all,hybrid,1,20,20,11,4,0.2,0.10679999999999998,2.1359999999999997,1.7706352499999993,0.8289490870786514,-1.0442793666666668,16,-0.19253875
recent_ge_2026_06_21,rank_all,old,3,60,20,26,7,0.11666666666666667,0.10093333333333333,6.056,0.6775061750000001,0.11187354276750332,-0.674899616875923,13,-0.40173875000000003
recent_ge_2026_06_21,rank_all,source,3,60,20,20,5,0.08333333333333333,0.10387500000000001,6.232500000000001,-1.5063791125000001,-0.24169741075010026,-1.0438479197143107,16,-0.5089236375
recent_ge_2026_06_21,rank_all,overshoot,3,60,20,18,5,0.08333333333333333,0.10628333333333333,6.377,-1.65663665,-0.25978307197741884,-1.043867618636756,16,-0.4675236375
recent_ge_2026_06_21,rank_all,hybrid,3,60,20,26,7,0.11666666666666667,0.10093333333333333,6.056,0.6775061750000001,0.11187354276750332,-0.674899616875923,13,-0.40173875000000003
recent_ge_2026_06_21,rank_all,old,5,100,20,32,13,0.13,0.099925,9.9925,2.5662176874999987,0.25681437953465086,-0.21784144719855403,8,-0.6130995875
recent_ge_2026_06_21,rank_all,source,5,100,20,33,8,0.08,0.10000500000000002,10.000500000000002,-2.4414153375,-0.24412932728363576,-0.732436471153347,15,-0.7614227375
recent_ge_2026_06_21,rank_all,overshoot,5,100,20,32,9,0.09,0.10212500000000002,10.212500000000002,-1.6617151625000004,-0.162713847001224,-0.6369481127276428,15,-0.7614227375
recent_ge_2026_06_21,rank_all,hybrid,5,100,20,32,13,0.13,0.100175,10.0175,2.540173937499999,0.25357363988020953,-0.21996328225598763,8,-0.6130995875
recent_ge_2026_06_21,policy,old,1,20,20,13,2,0.1,0.08785,1.757,0.1641130999999997,0.09340529311326108,-1.0450844798967174,18,-0.1501632
recent_ge_2026_06_21,policy,source,1,18,18,9,1,0.05555555555555555,0.1149722222222222,2.0694999999999997,-1.1589552124999998,-0.5600170149794637,-1.0425948622434635,17,-0.20800000000000002
recent_ge_2026_06_21,policy,overshoot,1,18,18,8,2,0.1111111111111111,0.12841666666666668,2.3115,-0.4106217124999999,-0.17764296452520004,-1.0424670782726044,16,-0.20284875000000002
recent_ge_2026_06_21,policy,hybrid,1,20,20,13,2,0.1,0.08785,1.757,0.1641130999999997,0.09340529311326108,-1.0450844798967174,18,-0.1501632
recent_ge_2026_06_21,policy,old,3,60,20,24,9,0.15,0.09414166666666667,5.6485,3.1002135125000003,0.5488560701956272,-0.2854307679537046,12,-0.4194771875
recent_ge_2026_06_21,policy,source,3,48,18,18,2,0.041666666666666664,0.10969791666666667,5.2655,-3.4952447375,-0.6638011086316589,-1.0434814159967436,16,-0.5089236375
recent_ge_2026_06_21,policy,overshoot,3,47,18,16,3,0.06382978723404255,0.11180851063829783,5.254999999999998,-2.4839505,-0.47268325404376804,-1.0434750311980034,16,-0.4675236375
recent_ge_2026_06_21,policy,hybrid,3,60,20,25,9,0.15,0.09539166666666668,5.7235000000000005,3.0223497625,0.5280597121516555,-0.29599225750631364,12,-0.4194771875
recent_ge_2026_06_21,policy,old,5,90,20,33,13,0.14444444444444443,0.09465555555555556,8.519,4.1015503749999995,0.4814591354619086,-0.06813129729070057,10,-0.5247459375
recent_ge_2026_06_21,policy,source,5,72,18,26,4,0.05555555555555555,0.10622222222222222,7.648,-3.9829393250000003,-0.5207818155073223,-1.0437500731605354,16,-0.7614227375
recent_ge_2026_06_21,policy,overshoot,5,71,18,26,4,0.056338028169014086,0.11013380281690141,7.8195,-4.160302212500001,-0.532041973591662,-1.0435268339571282,16,-0.7614227375
recent_ge_2026_06_21,policy,hybrid,5,90,20,33,13,0.14444444444444443,0.09465555555555556,8.519,4.1015503749999995,0.4814591354619086,-0.06813129729070057,10,-0.5247459375
fresh_ge_2026_07_08,rank_all,old,1,4,4,4,1,0.25,0.106375,0.4255,0.5557365125,1.3060787602820212,,3,-0.10397998750000001
fresh_ge_2026_07_08,rank_all,source,1,4,4,4,0,0.0,0.09025,0.361,-0.37693845000000004,-1.0441508310249308,,4,-0.18221874999999998
fresh_ge_2026_07_08,rank_all,overshoot,1,4,4,3,0,0.0,0.09749999999999999,0.38999999999999996,-0.40715500000000004,-1.0439871794871798,,4,-0.18221874999999998
fresh_ge_2026_07_08,rank_all,hybrid,1,4,4,4,1,0.25,0.106375,0.4255,0.5557365125,1.3060787602820212,,3,-0.10397998750000001
fresh_ge_2026_07_08,rank_all,old,3,12,4,9,2,0.16666666666666666,0.10079166666666667,1.2095,0.7368783124999997,0.6092420938404297,-1.0440870723047129,2,-0.33873873750000005
fresh_ge_2026_07_08,rank_all,source,3,12,4,8,0,0.0,0.09208333333333334,1.105,-1.154493025,-1.0447900678733033,-1.043982039141414,4,-0.40160625
fresh_ge_2026_07_08,rank_all,overshoot,3,12,4,8,0,0.0,0.09208333333333334,1.105,-1.154493025,-1.0447900678733033,-1.043982039141414,4,-0.40160625
fresh_ge_2026_07_08,rank_all,hybrid,3,12,4,9,2,0.16666666666666666,0.10079166666666667,1.2095,0.7368783124999997,0.6092420938404297,-1.0440870723047129,2,-0.33873873750000005
fresh_ge_2026_07_08,rank_all,old,5,20,4,15,2,0.1,0.1012,2.024,-0.11358217500000005,-0.056117675395256944,-1.044115350061958,2,-0.557575475
