source_path,created_at_utc,candidate_status,execution_skip_reason,strategy_instance,city,target_date,bracket,token_id,market_id,route_leg,expression,rule_id,decision_snapshot_ts_utc,ask,bid,spread,top_ask_notional,ask_size,spread_bucket,depth_bucket,quality_bucket,soft_weight_to_ask_ratio,soft_shares,city_source_bias_regime,dedupe_key,final_price,settlement_status
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-03T09:44:58+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-03,30,95288076666943861477423068725697111834854793602301417496369864111846546006651,2751102,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-03T09:39:21Z,0.99,0.946,0.04400000000000004,7.92,8.0,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,0.36363636363636365,3.2727272727272725,hot_underforecast_clean,Ankara|2026-07-03|30|95288076666943861477423068725697111834854793602301417496369864111846546006651|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-03T10:45:34+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-03,33,74421909891906578086993341315569502471518209245343406612033758890897679212346,2751105,capped_d2_no,d2_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-03T10:40:04Z,0.91,0.85,0.06000000000000005,11.5479,12.69,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,0.14464285714285713,1.3017857142857143,hot_underforecast_clean,Ankara|2026-07-03|33|74421909891906578086993341315569502471518209245343406612033758890897679212346|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-03T09:00:06+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares|current_no_forecast_escape_margin_nonpositive,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-03,,83018942134739164941362939727223577588649279455175698024079653995560312592962,2751101,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-03T08:54:02Z,0.999,0.992,0.007000000000000006,594.64476,595.24,tight_le_3c,usable_ge_5,not_thin_or_wide,0.36036036036036034,3.243243243243243,hot_underforecast_clean,Ankara|2026-07-03||83018942134739164941362939727223577588649279455175698024079653995560312592962|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-03T09:29:49+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares|current_no_forecast_escape_margin_nonpositive,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-03,,95288076666943861477423068725697111834854793602301417496369864111846546006651,2751102,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-03T09:24:16Z,0.975,0.911,0.06399999999999995,65.02275,66.69,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,0.36923076923076925,3.323076923076923,hot_underforecast_clean,Ankara|2026-07-03||95288076666943861477423068725697111834854793602301417496369864111846546006651|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-04T08:59:41+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-04,27,74575143003206304288837516818298607236203910326440430914706035831179994190396,2765789,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-04T08:52:35Z,0.995,0.994,0.0010000000000000009,10.3082,10.36,tight_le_3c,usable_ge_5,not_thin_or_wide,0.36180904522613067,3.2562814070351758,hot_underforecast_clean,Ankara|2026-07-04|27|74575143003206304288837516818298607236203910326440430914706035831179994190396|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-04T10:08:02+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-04,28,42021033757225029712931575274724173111101535875487452688744766773775226615627,2765790,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-04T09:59:52Z,0.974,0.917,0.05699999999999994,7.792,8.0,mid_3c_to_8c,usable_ge_5,not_thin_or_wide,0.36960985626283366,3.326488706365503,hot_underforecast_clean,Ankara|2026-07-04|28|42021033757225029712931575274724173111101535875487452688744766773775226615627|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-04T10:29:16+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-04,31,103128899157173417932532324258529027313678644566108955093779056820043557220743,2765793,capped_d2_no,d2_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-04T10:16:58Z,0.96,0.95,0.010000000000000009,11.6736,12.16,tight_le_3c,usable_ge_5,not_thin_or_wide,0.137109375,1.2339843750000001,hot_underforecast_clean,Ankara|2026-07-04|31|103128899157173417932532324258529027313678644566108955093779056820043557220743|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-05T07:58:55+00:00,blocked,soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-05,25,5710949516076211603762916454744083368536511754419944462857768101139216908135,2778696,capped_d2_no,d2_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-05T07:45:58Z,0.58,0.55,0.029999999999999916,14.529,25.05,tight_le_3c,usable_ge_5,not_thin_or_wide,0.3600775862068966,3.2406982758620697,hot_underforecast_clean,Ankara|2026-07-05|25|5710949516076211603762916454744083368536511754419944462857768101139216908135|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-25T17:09:04+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Atlanta,2026-06-25,79,95364150069055881748550157109830142591571375689097021030698606463697045715488,2661826,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-25T16:30:26Z,0.95,0.921,0.028999999999999915,167.2,176.0,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.1747999999999998,,Atlanta|2026-06-25|79|95364150069055881748550157109830142591571375689097021030698606463697045715488|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-25T17:56:01+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Atlanta,2026-06-25,80-81,14625358693963202859921792366009585742802837216035795928039754024682176091454,2661827,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-25T17:30:09Z,0.84,0.662,0.17799999999999994,4.2,5.0,wide_gt_8c,small_2_5_to_5,thin_or_wide,,1.3706785714285712,,Atlanta|2026-06-25|80-81|14625358693963202859921792366009585742802837216035795928039754024682176091454|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
