split,variant,rows,dates,cities,logloss,brier,top1,winner_prob,gfs_seamless_logloss,gfs_seamless_brier,logloss_delta_vs_gfs_seamless,brier_delta_vs_gfs_seamless
verified_2026_06_21_plus,ecmwf_aifs025_single,2048,15,36,1.6405363276193097,0.6176875899233722,0.5341796875,0.4896509043459879,1.7634449468284923,0.628091437827152,-0.12290861920918261,-0.010403847903779795
verified_2026_06_21_plus,ncep_nbm_conus,499,14,10,1.75587943794378,0.6090839091910654,0.5771543086172345,0.5135934192675999,1.7634449468284923,0.628091437827152,-0.007565508884712191,-0.01900752863608668
verified_2026_06_21_plus,ncep_hrrr_conus,499,14,10,1.7567893490209094,0.5003158776776759,0.6172344689378757,0.5618647525465512,1.7634449468284923,0.628091437827152,-0.006655597807582847,-0.1277755601494761
verified_2026_06_21_plus,gfs_seamless,2048,15,36,1.7634449468284923,0.628091437827152,0.51025390625,0.467884253759511,1.7634449468284923,0.628091437827152,0.0,0.0
verified_2026_06_21_plus,ncep_aigfs025,2048,15,36,1.7845603586878445,0.6782646233399727,0.4892578125,0.44857289399251155,1.7634449468284923,0.628091437827152,0.021115411859352173,0.050173185512820684
verified_2026_06_21_plus,ecmwf_ifs025,2048,15,36,1.8409047857585958,0.6406793968606305,0.51806640625,0.4599619387501007,1.7634449468284923,0.628091437827152,0.07745983893010355,0.012587959033478424
verified_2026_06_21_plus,gfs_global,2048,15,36,2.2221494039428316,0.7072187006121466,0.46044921875,0.428962592427036,1.7634449468284923,0.628091437827152,0.45870445711433927,0.0791272627849946
verified_2026_06_21_plus,jma_seamless,2048,15,36,2.330363857732439,0.7262529217364433,0.50732421875,0.45417023762448105,1.7634449468284923,0.628091437827152,0.5669189109039467,0.09816148390929125
verified_2026_06_21_plus,gem_regional,693,14,13,2.5124237812083194,0.6856099004553821,0.5512265512265512,0.44973876081429215,1.7634449468284923,0.628091437827152,0.7489788343798272,0.057518462628230016
verified_2026_06_21_plus,ncep_nam_conus,499,14,10,2.837574523788823,0.727189334085411,0.4649298597194389,0.4402989789772626,1.7634449468284923,0.628091437827152,1.0741295769603307,0.09909789625825893
