evidence_layer,target_date,city,router_route,router_ask,router_payoff,base_weight,city_bias_soft_weight,city_bias_soft_shares,city_bias_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate
historical_best_ask_diagnostic,2026-05-28,Munich,capped_d2_no,0.64,1.0,0.26189999999999997,0.19642499999999996,1.5345703124999996,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-29,Chengdu,capped_d2_no,0.7,1.0,0.18225000000000005,0.11846250000000004,0.8461607142857147,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084
historical_best_ask_diagnostic,2026-05-30,Karachi,capped_d2_no,0.56,1.0,0.313812,0.2039778,1.821230357142857,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-05-30,Shanghai,capped_d2_no,0.56,0.0,0.30699,0.19954349999999998,1.7816383928571426,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
historical_best_ask_diagnostic,2026-05-31,Ankara,capped_d2_no,0.6,1.0,0.30150000000000005,0.19597500000000004,1.6331250000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
historical_best_ask_diagnostic,2026-05-31,Karachi,capped_d2_no,0.55,0.0,0.351,0.22815,2.0740909090909088,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-05-31,Taipei,capped_d2_no,0.69,1.0,0.19116000000000002,0.13381200000000001,0.9696521739130437,downweight,gfs_seamless,gfs,two_sided_noisy,-0.0708,0.3624
historical_best_ask_diagnostic,2026-06-01,Wuhan,capped_d2_no,0.6,1.0,0.27135000000000004,0.24421500000000004,2.0351250000000003,downweight,gfs_seamless,gfs,mild_or_mixed,0.1514,0.2753
historical_best_ask_diagnostic,2026-06-02,BuenosAires,capped_d2_no,0.66,1.0,0.21304799999999996,0.15978599999999998,1.2105,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747
historical_best_ask_diagnostic,2026-06-02,Busan,capped_d2_no,0.66,0.0,0.188838,0.1982799,1.5021204545454545,upweight,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067
historical_best_ask_diagnostic,2026-06-02,Munich,capped_d2_no,0.51,1.0,0.3906,0.29295,2.8720588235294118,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-03,BuenosAires,capped_d2_no,0.58,1.0,0.282744,0.212058,1.8280862068965518,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6053,0.4747
historical_best_ask_diagnostic,2026-06-03,Houston,capped_d2_no,0.68,1.0,0.18673199999999998,0.21474179999999995,1.5789838235294114,upweight,gfs_seamless,gfs,cold_overforecast_clean,-0.7775,0.0815
historical_best_ask_diagnostic,2026-06-03,Munich,capped_d2_no,0.65,1.0,0.22175999999999998,0.16632,1.2793846153846153,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-04,Dallas,capped_d2_no,0.63,0.0,0.2718,0.17667,1.4021428571428571,downweight,gfs_seamless,gfs,hot_underforecast_clean,3.8596,0.9213
historical_best_ask_diagnostic,2026-06-04,Guangzhou,capped_d2_no,0.66,1.0,0.21789,0.1634175,1.2380113636363634,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-06-04,Karachi,capped_d2_no,0.58,1.0,0.32130000000000003,0.20884500000000003,1.8003879310344832,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-05,Houston,capped_d2_no,0.66,1.0,0.188838,0.2171637,1.6451795454545455,upweight,gfs_seamless,gfs,cold_overforecast_clean,-0.7775,0.0815
historical_best_ask_diagnostic,2026-06-05,Karachi,capped_d2_no,0.57,1.0,0.33120000000000005,0.21528000000000003,1.8884210526315792,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-05,Munich,capped_d2_no,0.63,1.0,0.2718,0.20384999999999998,1.6178571428571429,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-06,Chongqing,capped_d2_no,0.46,1.0,0.39609,0.25745850000000003,2.7984619565217392,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787
historical_best_ask_diagnostic,2026-06-07,Munich,capped_d2_no,0.49,1.0,0.41040000000000004,0.3078,3.1408163265306124,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-07,Wellington,capped_d2_no,0.66,1.0,0.24209999999999998,0.157365,1.192159090909091,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.181,0.6096
historical_best_ask_diagnostic,2026-06-08,Austin,capped_d2_no,0.7,1.0,0.17415000000000005,0.11319750000000003,0.8085535714285718,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.6201,0.6811
historical_best_ask_diagnostic,2026-06-08,Busan,capped_d2_no,0.63,1.0,0.212004,0.2226042,1.7667,upweight,gfs_seamless,gfs,cold_overforecast_noisy,-0.4813,0.1067
historical_best_ask_diagnostic,2026-06-08,Dallas,capped_d2_no,0.53,1.0,0.37079999999999996,0.24101999999999998,2.27377358490566,downweight,gfs_seamless,gfs,hot_underforecast_clean,3.8596,0.9213
historical_best_ask_diagnostic,2026-06-08,Guangzhou,capped_d2_no,0.69,1.0,0.16567200000000004,0.12425400000000003,0.9003913043478264,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-06-08,Karachi,capped_d2_no,0.56,1.0,0.313812,0.2039778,1.821230357142857,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-09,Chengdu,capped_d2_no,0.7,0.0,0.18225000000000005,0.11846250000000004,0.8461607142857147,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084
historical_best_ask_diagnostic,2026-06-09,Guangzhou,capped_d2_no,0.7,1.0,0.18225000000000005,0.13668750000000005,0.9763392857142862,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-06-09,Karachi,capped_d2_no,0.6,1.0,0.30150000000000005,0.19597500000000004,1.6331250000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-09,Shanghai,capped_d2_no,0.47,1.0,0.38718,0.25166700000000003,2.6773085106382983,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9496,0.5075
historical_best_ask_diagnostic,2026-06-10,Guangzhou,capped_d2_no,0.7,1.0,0.18225000000000005,0.13668750000000005,0.9763392857142862,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-06-11,Ankara,capped_d2_no,0.41,0.0,0.45,0.29250000000000004,3.567073170731708,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
historical_best_ask_diagnostic,2026-06-12,Ankara,capped_d2_no,0.61,0.0,0.2916,0.18954000000000001,1.5536065573770494,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
historical_best_ask_diagnostic,2026-06-12,Karachi,capped_d2_no,0.55,0.0,0.32292,0.209898,1.9081636363636363,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-13,Chongqing,capped_d2_no,0.66,1.0,0.21789,0.14162850000000002,1.072943181818182,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787
historical_best_ask_diagnostic,2026-06-13,Karachi,capped_d2_no,0.6,0.0,0.2592900000000001,0.16853850000000006,1.4044875000000006,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-14,Dallas,capped_d2_no,0.65,1.0,0.252,0.1638,1.2599999999999998,downweight,gfs_seamless,gfs,hot_underforecast_clean,3.8596,0.9213
historical_best_ask_diagnostic,2026-06-14,Singapore,capped_d2_no,0.69,1.0,0.19116000000000002,0.12425400000000002,0.9003913043478263,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.8289,0.4073
historical_best_ask_diagnostic,2026-06-15,Ankara,capped_d2_no,0.31,1.0,0.45,0.29250000000000004,4.717741935483871,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.7653,0.441
historical_best_ask_diagnostic,2026-06-15,Karachi,capped_d2_no,0.6,1.0,0.27738000000000007,0.18029700000000004,1.5024750000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-15,Munich,capped_d2_no,0.49,0.0,0.41040000000000004,0.3078,3.1408163265306124,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-06-16,Austin,capped_d2_no,0.639,0.0,0.26288999999999996,0.1708785,1.3370774647887322,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.6201,0.6811
historical_best_ask_diagnostic,2026-06-16,Guangzhou,capped_d2_no,0.69,0.0,0.16567200000000004,0.12425400000000003,0.9003913043478264,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.5786,0.4242
historical_best_ask_diagnostic,2026-06-17,Dallas,capped_d2_no,0.61,1.0,0.2916,0.18954000000000001,1.5536065573770494,downweight,gfs_seamless,gfs,hot_underforecast_clean,3.8596,0.9213
historical_best_ask_diagnostic,2026-06-17,Helsinki,capped_d2_no,0.685,1.0,0.19126799999999994,0.17214119999999994,1.2565051094890507,downweight,gfs_seamless,gfs,mild_or_mixed,0.2863,0.2556
historical_best_ask_diagnostic,2026-06-17,Karachi,capped_d2_no,0.53,0.0,0.341136,0.2217384,2.0918716981132075,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-18,Karachi,capped_d2_no,0.7,1.0,0.17415000000000005,0.11319750000000003,0.8085535714285718,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
historical_best_ask_diagnostic,2026-06-18,Manila,capped_d2_no,0.67,0.0,0.20897999999999997,0.13583699999999999,1.0137089552238805,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
