policy,rows_seen,traded_rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,window
original_weighted_no_min5,283,283,38,35,153,0.5406360424028268,0.5258197879858658,0.34349406169611313,486.0440973000001,112.80728526112632,0.23209269670751395,0.03742550623279322,0.4265998776105896,1,historical_best_ask_diagnostic,all
original_executable_min5,283,76,32,26,37,0.4868421052631579,0.3380526315789473,0.5401314684210526,205.24995800000002,128.88373077270705,0.6279354793958449,0.1883447173222956,1.0423085419933933,11,historical_best_ask_diagnostic,all
original_plus_city_bias_soft_no_min5,283,283,38,35,153,0.5406360424028268,0.5258197879858658,0.3212719289045937,454.5997794000001,112.34104623742367,0.2471207671629232,0.041600438811590305,0.45367452698538346,1,historical_best_ask_diagnostic,all
original_plus_city_bias_soft_executable_min5,283,74,32,25,36,0.4864864864864865,0.3374594594594595,0.5404390756756757,199.96245800000003,126.91316625657804,0.634684967998233,0.18147699770345066,1.0650438586764799,11,historical_best_ask_diagnostic,all
v4_tail_shadow_city_bias_no_min5,283,243,38,34,131,0.5390946502057613,0.5377489711934157,0.3337467589300412,405.50231210000004,82.62256539030028,0.20375362340702244,-0.010948880902316683,0.4230596614710617,2,historical_best_ask_diagnostic,all
v4_tail_shadow_city_bias_executable_min5,283,64,30,23,29,0.453125,0.34534374999999995,0.5666147125000001,181.316708,98.09925455333877,0.5410381405851399,0.08111548678732412,0.9686563090062364,10,historical_best_ask_diagnostic,all
original_weighted_no_min5,31,31,6,17,14,0.45161290322580644,0.5519677419354839,0.2911700800000001,45.131362400000015,-1.3747672284995822,-0.03046146084213008,-0.20658201399143278,0.1275332839280973,1,historical_best_ask_diagnostic,forward_2026-06-21_plus
original_executable_min5,31,5,4,5,3,0.6,0.31399999999999995,0.4555091200000001,11.387728000000003,9.242912023531721,0.8116554964723182,-0.2892378418864122,2.094684469089664,1,historical_best_ask_diagnostic,forward_2026-06-21_plus
original_plus_city_bias_soft_no_min5,31,31,6,17,14,0.45161290322580644,0.5519677419354839,0.2700580687096775,41.85900065000001,-0.4275437747659512,-0.010213903058527773,-0.1809941452065295,0.13007073855004722,1,historical_best_ask_diagnostic,forward_2026-06-21_plus
original_plus_city_bias_soft_executable_min5,31,5,4,5,3,0.6,0.31399999999999995,0.42400912000000013,10.600228000000003,10.030412023531722,0.9462449320459635,-0.2863630465810304,2.392814509998357,1,historical_best_ask_diagnostic,forward_2026-06-21_plus
v4_tail_shadow_city_bias_no_min5,31,25,6,16,11,0.44,0.5676,0.28944878120000006,36.181097650000005,-5.932386145524221,-0.16396368631243613,-0.4308366741701167,-0.037927950525196936,2,historical_best_ask_diagnostic,forward_2026-06-21_plus
v4_tail_shadow_city_bias_executable_min5,31,4,3,4,2,0.5,0.33999999999999997,0.46401140000000013,9.280228000000003,5.064697737817436,0.5457514338890633,-1.0,1.1276595744680848,1,historical_best_ask_diagnostic,forward_2026-06-21_plus
original_weighted_no_min5,252,252,32,35,139,0.5515873015873016,0.5226031746031747,0.349930741984127,440.91273490000003,114.18205248962593,0.25896746329071824,0.050231261561240206,0.4683679683432821,0,historical_best_ask_diagnostic,train_to_2026_06_20
original_executable_min5,252,71,28,24,34,0.4788732394366197,0.3397464788732395,0.5460907887323945,193.86223000000004,119.64081874917535,0.6171435186171919,0.18203097561580153,1.0506865906985958,10,historical_best_ask_diagnostic,train_to_2026_06_20
original_plus_city_bias_soft_no_min5,252,252,32,35,139,0.5515873015873016,0.5226031746031747,0.32757204662698414,412.74077875,112.76859001218963,0.27321892048978846,0.05280159334680061,0.4928616706878068,0,historical_best_ask_diagnostic,train_to_2026_06_20
original_plus_city_bias_soft_executable_min5,252,69,28,23,33,0.4782608695652174,0.33915942028985513,0.5488760289855074,189.36223000000004,116.88275423304633,0.6172442848452213,0.1707948328983092,1.063004780210923,10,historical_best_ask_diagnostic,train_to_2026_06_20
v4_tail_shadow_city_bias_no_min5,252,218,32,34,120,0.5504587155963303,0.5343256880733945,0.3388268022477065,369.32121445000007,88.5549515358245,0.23977759216378122,0.010596315193074853,0.47157190690905987,0,historical_best_ask_diagnostic,train_to_2026_06_20
v4_tail_shadow_city_bias_executable_min5,252,60,27,21,27,0.45,0.3457,0.5734549333333334,172.03648000000004,93.03455681552131,0.5407838896466685,0.07628262017384646,1.0078868925600115,9,historical_best_ask_diagnostic,train_to_2026_06_20
