target_date,rows,cost,pnl,expression
2026-07-03,8,7.9895499999999995,0.01045000000000007,previous_no
2026-07-04,1,0.99905,0.0009500000000000064,previous_no
2026-07-05,5,4.99525,0.004750000000000032,previous_no
2026-07-06,1,0.99905,0.0009500000000000064,previous_no
2026-06-19,3,0.013649999999999999,-0.013649999999999999,previous_yes
2026-06-20,4,0.01155,-0.01155,previous_yes
2026-06-21,4,0.0084,-0.0084,previous_yes
2026-06-22,2,0.0042,-0.0042,previous_yes
2026-06-24,3,0.0126,-0.0126,previous_yes
2026-06-25,20,0.04935,-0.04935,previous_yes
2026-06-26,3,0.0042,-0.0042,previous_yes
2026-06-27,6,0.01155,-0.01155,previous_yes
2026-06-29,17,0.045149999999999996,-0.045149999999999996,previous_yes
2026-06-30,33,0.10078999999999999,-0.10078999999999999,previous_yes
2026-07-01,9,0.045129999999999997,-0.045129999999999997,previous_yes
2026-07-03,12,0.025199999999999997,-0.025199999999999997,previous_yes
2026-07-04,1,0.0021,-0.0021,previous_yes
2026-07-05,12,0.0189,-0.0189,previous_yes
2026-07-06,2,0.00315,-0.00315,previous_yes
