policy,scope,target_date,rows,cities,closes,reopens,cost_net,pnl_net,roi_net
first_lock_no_current_yes,verified_forward,2026-06-21,14,14,0,0,9.00721,0.9927900000000003,0.11022170017130724
target_book_close_only_ev0,verified_forward,2026-06-21,14,14,1,0,10.15104,0.8489600000000002,0.08363281003719818
target_book_rebalance_ev0,verified_forward,2026-06-21,14,14,1,1,9.97212,1.0278800000000001,0.103075374143111
target_book_rebalance_ev02,verified_forward,2026-06-21,14,14,1,1,9.97212,1.0278800000000001,0.103075374143111
first_lock_no_current_yes,verified_forward,2026-06-22,12,12,0,0,7.5887118000000005,3.4112882,0.44952137990007734
target_book_close_only_ev0,verified_forward,2026-06-22,12,12,0,0,7.5887118000000005,3.4112882,0.44952137990007734
target_book_rebalance_ev0,verified_forward,2026-06-22,12,12,0,0,7.5887118000000005,3.4112882,0.44952137990007734
target_book_rebalance_ev02,verified_forward,2026-06-22,12,12,0,0,7.5887118000000005,3.4112882,0.44952137990007734
first_lock_no_current_yes,verified_forward,2026-06-23,10,10,0,0,6.8038322,0.1961677999999999,0.028831957378372717
target_book_close_only_ev0,verified_forward,2026-06-23,10,10,0,0,6.8038322,0.1961677999999999,0.028831957378372717
target_book_rebalance_ev0,verified_forward,2026-06-23,10,10,0,0,6.8038322,0.1961677999999999,0.028831957378372717
target_book_rebalance_ev02,verified_forward,2026-06-23,10,10,0,0,6.8038322,0.1961677999999999,0.028831957378372717
first_lock_no_current_yes,verified_forward,2026-06-25,17,17,0,0,10.6760845,-1.6760845,-0.15699430816606968
target_book_close_only_ev0,verified_forward,2026-06-25,17,17,3,0,11.9070045,-1.9070044999999998,-0.16015820771714664
target_book_rebalance_ev0,verified_forward,2026-06-25,17,17,4,4,14.54909605,-1.5490960500000002,-0.10647369738135726
target_book_rebalance_ev02,verified_forward,2026-06-25,17,17,4,4,14.54909605,-1.5490960500000002,-0.10647369738135726
first_lock_no_current_yes,verified_forward,2026-06-26,12,12,0,0,7.793745899999999,1.2062541000000002,0.15477205896589474
target_book_close_only_ev0,verified_forward,2026-06-26,12,12,0,0,7.793745899999999,1.2062541000000002,0.15477205896589474
target_book_rebalance_ev0,verified_forward,2026-06-26,12,12,2,2,10.227610899999998,0.7723891000000006,0.07551999265048309
target_book_rebalance_ev02,verified_forward,2026-06-26,12,12,2,2,10.227610899999998,0.7723891000000006,0.07551999265048309
first_lock_no_current_yes,verified_forward,2026-06-27,19,19,0,0,11.605445,2.3945549999999995,0.20633030443899392
target_book_close_only_ev0,verified_forward,2026-06-27,19,19,4,0,14.73075,1.26925,0.08616329786331313
target_book_rebalance_ev0,verified_forward,2026-06-27,19,19,5,5,17.968445,1.031555,0.057409252720533134
target_book_rebalance_ev02,verified_forward,2026-06-27,19,19,5,5,17.968445,1.031555,0.057409252720533134
first_lock_no_current_yes,verified_forward,2026-06-28,3,3,0,0,1.55715,0.4428500000000001,0.2843977779918441
target_book_close_only_ev0,verified_forward,2026-06-28,3,3,1,0,2.18893,0.8110700000000001,0.37053263466625247
target_book_rebalance_ev0,verified_forward,2026-06-28,3,3,1,1,2.850305,0.14969500000000002,0.052518940955441615
target_book_rebalance_ev02,verified_forward,2026-06-28,3,3,1,1,2.850305,0.14969500000000002,0.052518940955441615
first_lock_no_current_yes,verified_forward,2026-06-29,6,6,0,0,3.56546,-1.5654599999999999,-0.43906256135253235
target_book_close_only_ev0,verified_forward,2026-06-29,6,6,0,0,3.56546,-1.5654599999999999,-0.43906256135253235
target_book_rebalance_ev0,verified_forward,2026-06-29,6,6,1,1,4.3728549999999995,-1.372855,-0.31394935345443653
target_book_rebalance_ev02,verified_forward,2026-06-29,6,6,1,1,4.3728549999999995,-1.372855,-0.31394935345443653
first_lock_no_current_yes,verified_forward,2026-06-30,12,12,0,0,8.01311355,-0.013113549999999696,-0.0016365111910837326
target_book_close_only_ev0,verified_forward,2026-06-30,12,12,0,0,8.01311355,-0.013113549999999696,-0.0016365111910837326
target_book_rebalance_ev0,verified_forward,2026-06-30,12,12,1,1,9.725223549999999,-0.7252235499999997,-0.07457140149750077
target_book_rebalance_ev02,verified_forward,2026-06-30,12,12,0,0,8.01311355,-0.013113549999999696,-0.0016365111910837326
first_lock_no_current_yes,verified_forward,2026-07-01,10,10,0,0,6.9737515000000005,2.0262485,0.29055358511125606
target_book_close_only_ev0,verified_forward,2026-07-01,10,10,0,0,6.9737515000000005,2.0262485,0.29055358511125606
target_book_rebalance_ev0,verified_forward,2026-07-01,10,10,2,2,8.88661045,2.11338955,0.2378172827413629
target_book_rebalance_ev02,verified_forward,2026-07-01,10,10,0,0,6.9737515000000005,2.0262485,0.29055358511125606
first_lock_no_current_yes,verified_forward,2026-07-02,3,3,0,0,1.97065,0.029350000000000043,0.014893563037576456
target_book_close_only_ev0,verified_forward,2026-07-02,3,3,1,0,2.250505,0.749495,0.3330341412260804
target_book_rebalance_ev0,verified_forward,2026-07-02,3,3,1,1,2.9217250000000003,1.0782749999999999,0.3690542402176795
target_book_rebalance_ev02,verified_forward,2026-07-02,3,3,1,1,2.9217250000000003,1.0782749999999999,0.3690542402176795
first_lock_no_current_yes,verified_forward,2026-07-03,8,8,0,0,5.5462399499999995,0.4537600500000002,0.0818139954438863
target_book_close_only_ev0,verified_forward,2026-07-03,8,8,1,0,6.128494949999999,-0.12849494999999977,-0.02096680360322395
target_book_rebalance_ev0,verified_forward,2026-07-03,8,8,4,4,10.118114949999999,-1.1181149499999994,-0.1105062509692084
target_book_rebalance_ev02,verified_forward,2026-07-03,8,8,2,2,8.15084995,-1.1508499499999996,-0.1411938579485198
