target_date,current_x,probability,scenario,decision_ts_utc,p_win,midpoint,entry_price_proxy,effective_cost_per_share,won,cash_cost,pnl
2026-07-21,14,p_break_v7,ask_markup_median,2026-07-21T03:00:19.525000+00:00,0.6659335638063888,0.305,0.3375,0.3486796875,False,1.7433984375,-1.7433984375
2026-07-22,11,p_break_v7,ask_markup_median,2026-07-22T03:51:46.681906+00:00,0.9995561314806852,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-22,12,p_break_v7,ask_markup_median,2026-07-22T05:52:55.686180+00:00,0.9996676928115692,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-22,13,p_break_v7,ask_markup_median,2026-07-22T06:32:22.173340+00:00,0.9995884296410968,0.996,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-22,14,p_break_v7,ask_markup_median,2026-07-22T07:31:41.126622+00:00,0.9986536413070184,0.987,0.998482,0.9985577847838,True,4.992788923919,0.007211076081000023
2026-07-22,15,p_break_v7,ask_markup_median,2026-07-22T08:31:49.929190+00:00,0.9997946479334544,0.985,0.996482,0.9966572811837999,True,4.983286405918999,0.016713594081000593
2026-07-22,16,p_break_v7,ask_markup_median,2026-07-22T09:32:38.042029+00:00,0.9978419155537523,0.9805,0.991982,0.9923796855838001,True,4.961898427919,0.038101572080999624
2026-07-22,17,p_break_v7,ask_markup_median,2026-07-22T10:32:29.949029+00:00,0.9663906157761388,0.845,0.856482,0.8626280291838,True,4.313140145919,0.6868598540809998
2026-07-22,18,p_break_v7,ask_markup_median,2026-07-22T11:32:55.361067+00:00,0.7582884918830699,0.27,0.30250000000000005,0.31304968750000006,True,1.5652484375000002,3.4347515625
2026-07-22,19,p_break_v7,ask_markup_median,2026-07-22T13:32:41.812173+00:00,0.1168979120535151,0.09,0.09999999999999999,0.1045,False,0.5225,-0.5225
2026-07-23,15,p_break_v7,ask_markup_median,2026-07-23T08:02:58.125758+00:00,0.9996781757296468,0.9985,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-23,16,p_break_v7,ask_markup_median,2026-07-23T09:02:40.860265+00:00,0.9998106229821916,0.995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-23,17,p_break_v7,ask_markup_median,2026-07-23T09:31:41.383835+00:00,0.9990815397145648,0.926,0.937482,0.9404124749838,True,4.702062374919,0.2979376250810004
2026-07-23,19,p_break_v7,ask_markup_median,2026-07-23T10:02:12.862656+00:00,0.8975352194740748,0.425,0.4575,0.4699096875,True,2.3495484375,2.6504515625
2026-07-23,20,p_break_v7,ask_markup_median,2026-07-23T12:02:10.560008+00:00,0.0428918778190936,0.025,0.034999999999999996,0.03668875,False,0.18344375,-0.18344375
2026-07-24,14,p_break_v7,ask_markup_median,2026-07-24T05:01:23.439703+00:00,0.9999949434115016,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-24,16,p_break_v7,ask_markup_median,2026-07-24T05:31:47.832491+00:00,0.9998728423000012,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-24,17,p_break_v7,ask_markup_median,2026-07-24T06:32:50.475452+00:00,0.9999860703279164,0.9995,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-24,18,p_break_v7,ask_markup_median,2026-07-24T07:02:44.860268+00:00,0.9994233077490212,0.9955,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-24,19,p_break_v7,ask_markup_median,2026-07-24T08:03:33.217250+00:00,0.9986709631553674,0.94,0.9514819999999999,0.9537902001837999,True,4.7689510009189995,0.23104899908100052
2026-07-24,20,p_break_v7,ask_markup_median,2026-07-24T12:01:54.872988+00:00,0.4421976591331205,0.295,0.3275,0.3385121875,True,1.6925609375000001,3.3074390625
2026-07-25,15,p_break_v7,ask_markup_median,2026-07-25T03:00:06.700363+00:00,0.9998994884455054,0.9985,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-25,18,p_break_v7,ask_markup_median,2026-07-25T06:52:17.534803+00:00,0.9298573211432158,0.8985,0.909982,0.9140777379838,True,4.570388689919,0.4296113100810004
2026-07-25,19,p_break_v7,ask_markup_median,2026-07-25T11:42:43.464400+00:00,0.6249419536346279,0.355,0.3875,0.3993671875,True,1.9968359375,3.0031640625
2026-07-25,20,p_break_v7,ask_markup_median,2026-07-25T13:32:34.722591+00:00,0.2516797147287655,0.09,0.09999999999999999,0.1045,False,0.5225,-0.5225
2026-07-26,17,p_break_v7,ask_markup_median,2026-07-26T03:00:20.185834+00:00,0.9900633474974706,0.955,0.966482,0.9681017271837999,True,4.840508635919,0.15949136408100006
2026-07-26,18,p_break_v7,ask_markup_median,2026-07-26T10:02:54.116145+00:00,0.9812318625835468,0.795,0.87,0.875655,True,4.3782749999999995,0.6217250000000005
2026-07-26,19,p_break_v7,ask_markup_median,2026-07-26T11:03:39.560653+00:00,0.8321256396234944,0.435,0.4675,0.47994718750000004,False,2.3997359375,-2.3997359375
2026-07-27,18,p_break_v7,ask_markup_median,2026-07-27T03:13:03.211643+00:00,0.9722021026462826,0.95,0.961482,0.9633337181838,True,4.816668590919,0.1833314090810001
2026-07-27,19,p_break_v7,ask_markup_median,2026-07-27T09:03:35.304486+00:00,0.9000770535991629,0.86,0.871482,0.8770820561838,True,4.385410280919,0.6145897190809997
2026-07-27,20,p_break_v7,ask_markup_median,2026-07-27T13:02:00.572692+00:00,0.478996208787258,0.35,0.3825,0.3943096875,True,1.9715484375,3.0284515625
2026-07-27,21,p_break_v7,ask_markup_median,2026-07-27T15:01:56.227608+00:00,0.0227577800177965,0.0035,0.013499999999999995,0.014165887499999995,False,0.07082943749999998,-0.07082943749999998
2026-07-29,24,p_break_v7,ask_markup_median,2026-07-29T13:02:36.901091+00:00,0.1569805189506646,0.115,0.125,0.13046875,False,0.65234375,-0.65234375
2026-07-15,21,p_r16_final_descriptive,midpoint,2026-07-15T06:33:27.771861+00:00,0.9998310791759465,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-15,22,p_r16_final_descriptive,midpoint,2026-07-15T08:02:53.626287+00:00,0.9989256943447621,0.9975,0.9975,0.9976246875,True,4.9881234375,0.011876562500000354
2026-07-15,23,p_r16_final_descriptive,midpoint,2026-07-15T09:32:14.786327+00:00,0.9989818628388085,0.997,0.997,0.99714955,True,4.98574775,0.014252250000000188
2026-07-15,24,p_r16_final_descriptive,midpoint,2026-07-15T10:03:00.574392+00:00,0.9963860114503114,0.9875,0.9875,0.9881171875,True,4.9405859375,0.05941406250000014
2026-07-15,25,p_r16_final_descriptive,midpoint,2026-07-15T11:32:50.407365+00:00,0.9097285618778532,0.81,0.81,0.8176950000000001,True,4.088475000000001,0.9115249999999993
2026-07-15,26,p_r16_final_descriptive,midpoint,2026-07-15T13:02:25.188618+00:00,0.31710454767766855,0.165,0.165,0.17188875,False,0.8594437500000001,-0.8594437500000001
2026-07-16,19,p_r16_final_descriptive,midpoint,2026-07-16T05:03:34.531189+00:00,0.9983913970036851,0.997,0.997,0.99714955,True,4.98574775,0.014252250000000188
2026-07-16,20,p_r16_final_descriptive,midpoint,2026-07-16T06:03:21.476849+00:00,0.9920713260326103,0.9815,0.9815,0.9824078875000001,True,4.912039437500001,0.08796056249999928
2026-07-16,21,p_r16_final_descriptive,midpoint,2026-07-16T06:32:19.191202+00:00,0.9445700740301801,0.925,0.925,0.9284687500000001,True,4.64234375,0.3576562499999998
2026-07-16,22,p_r16_final_descriptive,midpoint,2026-07-16T08:13:02.490366+00:00,0.5746090434103752,0.49,0.49,0.502495,False,2.5124750000000002,-2.5124750000000002
2026-07-17,19,p_r16_final_descriptive,midpoint,2026-07-17T05:31:54.667004+00:00,0.999663921113843,0.999,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-17,20,p_r16_final_descriptive,midpoint,2026-07-17T06:02:08.900886+00:00,0.9987036974891902,0.997,0.997,0.99714955,True,4.98574775,0.014252250000000188
2026-07-17,21,p_r16_final_descriptive,midpoint,2026-07-17T07:31:52.210210+00:00,0.9973613993496938,0.9925,0.9925,0.9928721875000001,True,4.9643609375,0.035639062499999596
2026-07-17,22,p_r16_final_descriptive,midpoint,2026-07-17T08:33:28.624714+00:00,0.994087501347032,0.988,0.988,0.9885927999999999,True,4.942964,0.05703600000000009
2026-07-17,23,p_r16_final_descriptive,midpoint,2026-07-17T09:32:23.424484+00:00,0.9507415003481414,0.91,0.91,0.914095,True,4.570475,0.42952499999999993
2026-07-17,24,p_r16_final_descriptive,midpoint,2026-07-17T13:02:35.416649+00:00,0.4266671978915709,0.31,0.31,0.320695,False,1.603475,-1.603475
2026-07-18,20,p_r16_final_descriptive,midpoint,2026-07-18T05:32:01.167926+00:00,0.9997229850111453,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-18,21,p_r16_final_descriptive,midpoint,2026-07-18T06:02:23.818715+00:00,0.9970090959262906,0.993,0.993,0.99334755,True,4.96673775,0.03326224999999994
2026-07-18,22,p_r16_final_descriptive,midpoint,2026-07-18T07:02:09.799585+00:00,0.9897549330615716,0.9655,0.9655,0.9671654875,True,4.8358274375,0.16417256250000012
2026-07-18,23,p_r16_final_descriptive,midpoint,2026-07-18T09:02:57.988619+00:00,0.9729076027190596,0.925,0.925,0.9284687500000001,True,4.64234375,0.3576562499999998
2026-07-18,24,p_r16_final_descriptive,midpoint,2026-07-18T10:31:29.496053+00:00,0.9452335325026693,0.83,0.83,0.837055,True,4.185275,0.8147250000000001
