any_fill,bracket,city,cost_usd,fill_fraction,filled_shares,final_yes,first_fill_wait_min,full_fill,intended_shares,last_fill_wait_min,missed_winner_cost_usd,order_id,pnl_usd,posted_price,scenario_model,scenario_notional_usd,settled,sizing_mode,target_date,unfilled_shares
True,32,TelAviv,1.0010000000000001,0.20020000000000004,7.15,0.0,0.0,False,35.71428571428571,0.0,0.0,0x8ebd9afd9a4ac735052c027432b19518d25519552e350557d01c67642630f633,-1.0010000000000001,0.14,absolute_fill_cap,5.0,True,notional,2026-07-03,28.56428571428571
True,32,TelAviv,5.0,1.0,35.71428571428571,0.0,0.0,True,35.71428571428571,0.0,0.0,0x8ebd9afd9a4ac735052c027432b19518d25519552e350557d01c67642630f633,-5.0,0.14,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,30,Ankara,1.0,1.0,12.5,0.0,0.0,True,12.5,0.0,0.0,0xaf8c0cb30aef7cfcb32a4d580240b5a8abed2fb5bb7a55eaa1b4f02678a2eae4,-1.0,0.08,absolute_fill_cap,1.0,True,notional,2026-07-03,0.0
True,30,Ankara,1.0,1.0,12.5,0.0,0.0,True,12.5,0.0,0.0,0xaf8c0cb30aef7cfcb32a4d580240b5a8abed2fb5bb7a55eaa1b4f02678a2eae4,-1.0,0.08,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,30,Ankara,1.0,0.3333333333333333,12.5,0.0,0.0,False,37.5,0.0,0.0,0xaf8c0cb30aef7cfcb32a4d580240b5a8abed2fb5bb7a55eaa1b4f02678a2eae4,-1.0,0.08,absolute_fill_cap,3.0,True,notional,2026-07-03,25.0
True,30,Ankara,3.0,1.0,37.5,0.0,0.0,True,37.5,0.0,0.0,0xaf8c0cb30aef7cfcb32a4d580240b5a8abed2fb5bb7a55eaa1b4f02678a2eae4,-3.0,0.08,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
True,30,Ankara,1.0,0.2,12.5,0.0,0.0,False,62.5,0.0,0.0,0xaf8c0cb30aef7cfcb32a4d580240b5a8abed2fb5bb7a55eaa1b4f02678a2eae4,-1.0,0.08,absolute_fill_cap,5.0,True,notional,2026-07-03,50.0
True,30,Ankara,5.0,1.0,62.5,0.0,0.0,True,62.5,0.0,0.0,0xaf8c0cb30aef7cfcb32a4d580240b5a8abed2fb5bb7a55eaa1b4f02678a2eae4,-5.0,0.08,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,98-99,Dallas,0.80031,0.80031,7.21,0.0,83.96666666666667,False,9.00900900900901,83.96666666666667,0.0,0xaaf91a51880202ba9a0d8e6b020123a9d834e7dcc177c89a3851fb5d1ea3816b,-0.80031,0.111,absolute_fill_cap,1.0,True,notional,2026-07-03,1.7990090090090094
True,98-99,Dallas,1.0,1.0,9.00900900900901,0.0,83.96666666666667,True,9.00900900900901,83.96666666666667,0.0,0xaaf91a51880202ba9a0d8e6b020123a9d834e7dcc177c89a3851fb5d1ea3816b,-1.0,0.111,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,98-99,Dallas,0.80031,0.26677,7.21,0.0,83.96666666666667,False,27.027027027027028,83.96666666666667,0.0,0xaaf91a51880202ba9a0d8e6b020123a9d834e7dcc177c89a3851fb5d1ea3816b,-0.80031,0.111,absolute_fill_cap,3.0,True,notional,2026-07-03,19.817027027027027
